nom_produit,marque,prix,categorie,plateforme,site_source,url_produit,note,nombre_avis,disponibilite,page
"Logitech Brio 4K webcam, appels vidéo, micro anti-parasite, correction automatique de l’éclairage HD,pour Microsoft Teams, Zoom, Google Voice,Google Meet,PC/Mac/ordinateur portable/Macbook - Graphite",Logitech,"107,99€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,3",0,En stock,2
"Logitech G G915 X LIGHTSPEED Clavier gaming sans fil ultra-plat, touches PBT double couche, touches entièrement programmables, switchs GL Blue Clicky, Clavier Français AZERTY - Noir",Logitech,"189,99€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,0",0,En stock,2
"Logitech G432 Casque Gamer Filaire, Son 7.1 Surround, DTS Headphone:X 2.0, Transducteurs 50mm, USB/Audio Jack 3,5mm, Micro avec Sourdine Flip-Up, Poids Léger ,PC/Xbox One/PS4/Nintendo Switch - Noir",Logitech,N/A,Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,4",0,Indisponible,2
"Logitech G G413 TKL SE Clavier Gaming Mécanique - Rétroéclairé avec Switches Mécaniques Tactiles, Anti-Ghosting, Compatible avec Windows, macOS, Clavier Français AZERTY - Noir",Logitech,N/A,Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,6",0,Indisponible,2
"Logitech G G502 X Lightspeed Souris Gaming sans Fil - Souris Optique avec Boutons optiques-mécaniques Hybrides LIGHTFORCE, Capteur Gaming Hero 25K, Compatible PC - macOS/Windows - Noir",Logitech,"91,65€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,6",0,En stock,2
"Logitech G G29 Driving Force volant de course et pédalier, retour de force, cuir véritable + Logitech G Driving Force levier de vitesse - pour PS5, PS4 et PC, Mac - Noir",Logitech,"219,99€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,7",0,En stock,2
"Logitech Mouse Pad - Studio Series, Tapis de Souris d'Ordinateur, Base Caoutchouc Anti-Dérapant, Glissement Facile, Résistant aux Eclaboussures, Durable, Portable, Moderne - Bleu/Gris",Logitech,"8,92€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,7",0,En stock,2
"Logitech M90 Souris Filaire USB, Suivi Optique 1000 PPP, Ambidextre, Compatible avec PC/Mac/Portable - Noir",Logitech,"6,69€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,6",0,En stock,2
"Logitech G PRO X TKL RAPID, clavier gaming filaire sans pavé numérique touches analogiques magnétiques, mode de déclenchement rapide, actionnement réglable et RVB personnalisable - FRA AZERTY - Noir",Logitech,"109,99€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,3",0,En stock,2
"Logitech G502 LIGHTSPEED Souris sans Fil, Capteur Gaming HERO 25K, 25 600 PPP, RGB, Ultra-Léger, 11 Boutons Programmables, Batterie Longue Durée, POWERPLAY-compatible, PC, EU Packaging - Noire",Logitech,"117,97€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,7",0,En stock,2
